highest/JJS body/NN in/IN elected/VBN officials/NNS
the/DT congress/NN in/IN those/DT issues/NNS
by/IN August/NNP in/IN
of/IN thousands/NNS in/IN industrial/JJ facilities/NNS
strong/JJ support/NN in/IN the/DT stupak/NN
the/DT president/NN in/IN the/DT united/VBN
committeepassed/JJ version/NN in/IN the/DT bill/NN
are/VBP working/VBG in/IN solutions/NNS with/IN
the/DT department/NN in/IN energy/NN is/VBZ
the/DT contents/NNS in/IN it/PRP not/RB
the/DT youth/NN in/IN our/PRP$ nation/NN
is/VBZ given/VBN in/IN some/DT generations/NNS
the/DT vulnerability/NN in/IN our/PRP$ nation/NN
done/VBN here/RB in/IN this/DT floor/NN
at/IN percent/NN in/IN operating/VBG capacity/NN
main/JJ thrust/NN in/IN this/DT bill/NN
the/DT building/NN in/IN new/JJ refineries/NNS
the/DT vicissitudes/NNS in/IN nature/NN or/CC
the/DT wake/NN in/IN katrina/NN and/CC
what/WP kind/NN in/IN policy/NN we/PRP
lost/VBN because/RB in/IN the/DT way/NN
put/VB taxpayers/NNS in/IN the/DT hook/NN
the/DT committee/NN in/IN rules/NNS reported/VBD
voting/VBG no/DT in/IN hr/NN which/WDT
push/VB many/JJ in/IN the/DT same/JJ
and/CC billions/NNS in/IN dollars/NNS in/IN
in/IN dollars/NNS in/IN taxpayer/NN money/NN
high/JJ cost/NN in/IN gasoline/NN which/WDT
the/DT price/NN in/IN natural/JJ gas/NN
crucial/JJ part/NN in/IN the/DT us/PRP
bill/NN builds/VBZ in/IN the/DT proven/JJ
proven/JJ success/NN in/IN the/DT strategic/JJ
the/DT location/NN in/IN reserves/NNS
eleven/NN producers/NNS in/IN african/JJ american/JJ
three/CD producers/NNS in/IN african/JJ american/JJ
the/DT areas/NNS in/IN science/NN
the/DT placement/NN in/IN refineries/NNS and/CC
overturns/NNS years/NNS in/IN successful/JJ statefederal/JJ
us/PRP court/NN in/IN appeals/NNS for/IN
section/NN in/IN the/DT clean/JJ
pipeline/NN titles/NNS in/IN the/DT gasoline/NN
and/CC members/NNS in/IN the/DT rules/NNS
the/DT trampling/NN in/IN the/DT states/NNS
the/DT quality/NN in/IN the/DT environment/NN
the/DT gulf/NN in/IN mexico/NN
against/IN passage/NN in/IN the/DT energy/NN
a/DT number/NN in/IN mergers/NNS in/IN
in/IN mergers/NNS in/IN oil/NN companies/NNS
is/VBZ because/IN in/IN oil/NN
the/DT existence/NN in/IN the/DT gwitchin/NN
to/TO cents/NNS in/IN each/DT gallon/NN
fact/NN many/JJ in/IN the/DT provisions/NNS
an/DT average/NN in/IN for/IN a/DT
average/JJ price/NN in/IN gasoline/NN at/IN
the/DT cost/NN in/IN energy/NN but/CC
fact/NN one/CD in/IN the/DT bill/NN
the/DT dead/JJ in/IN night/NN
the/DT wake/NN in/IN a/DT natural/JJ
the/DT name/NN in/IN hurricane/NN katrina/NN
our/PRP$ dependence/NN in/IN oil/NN lower/JJR
possible/JJ light/NN in/IN how/WRB these/DT
dollar/NN out/RP in/IN the/DT american/JJ
the/DT practice/NN in/IN wholesale/JJ price/NN
s/VBZ supply/NN in/IN gasoline/NN
the/DT magnitude/NN in/IN the/DT devastation/NN
percent/NN percent/NN in/IN americans/NNS favor/VBP
prevented/VBN consideration/NN in/IN the/DT boehlertmarkey/NN
the/DT kind/NN in/IN pressure/NN in/IN
in/IN pressure/NN in/IN gas/NN prices/NNS
i/FW met/VBD in/IN several/JJ occasions/NNS
the/DT country/NN in/IN saudi/JJ arabia/NN
security/NN act/NN in/IN
a/DT set/NN in/IN giveaways/NNS to/TO
out/RB here/RB in/IN the/DT floor/NN
so/RB out/RB in/IN touch/NN that/IN
the/DT part/NN in/IN the/DT oil/NN
a/DT series/NN in/IN memos/NNS years/NNS
the/DT hand/NN in/IN a/DT saudi/NN
first/JJ law/NN in/IN holes/NNS when/WRB
for/IN consideration/NN in/IN hr/NN the/DT
the/DT chairman/NN in/IN the/DT energy/NN
those/DT regions/NNS in/IN the/DT country/NN
the/DT speaker/NN in/IN the/DT house/NN
will/MD be/VB in/IN the/DT market/NN
the/DT proliferation/NN in/IN boutique/NN fuels/NNS
the/DT way/NN in/IN building/VBG more/JJR
closed/VBD or/CC in/IN the/DT shut/VBN
are/VBP not/RB in/IN the/DT gulf/NN
nine/CD in/IN the/DT top/JJ
refining/NN industry/NN in/IN the/DT west/NN
the/DT surplus/NN in/IN refining/NN capacity/NN
s/VBZ problem/NN in/IN low/JJ profit/NN
now/RB all/DT in/IN that/DT is/VBZ
on/IN any/DT in/IN the/DT big/JJ
and/CC deployment/NN in/IN solar/JJ and/CC
legal/JJ bills/NNS in/IN exxonmobil/NN
sputnik/NN challenge/NN in/IN the/DT soviet/JJ
they/PRP call/VBP in/IN jihadists/NNS everywhere/RB
the/DT killing/VBG in/IN american/JJ soldiers/NNS
the/DT impact/NN in/IN the/DT rise/NN
oil/NN prices/NNS in/IN america/NN and/CC
a/DT goal/NN in/IN sending/VBG a/DT
instead/RB in/IN the/DT bill/NN
the/DT floor/NN in/IN this/DT house/NN
the/DT size/NN in/IN comparable/JJ programs/NNS
technological/JJ engine/NN in/IN the/DT world/NN
of/IN charge/NN in/IN this/DT house/NN
the/DT future/NN in/IN the/DT energy/NN
domestic/JJ use/NN in/IN fuels/NNS
the/DT way/NN in/IN the/DT oil/NN
imposing/VBG any/DT in/IN the/DT additional/JJ
the/DT discretion/NN in/IN the/DT chair/NN
crack/VB down/RP in/IN price/NN gouging/NN
is/VBZ more/RBR in/IN the/DT same/JJ
bad/JJ behavior/NN in/IN oil/NN and/CC
the/DT relief/NN in/IN our/PRP$ citizens/NNS
negative/JJ effect/NN in/IN the/DT low/JJ
the/DT people/NNS in/IN this/DT country/NN
these/DT increases/NNS in/IN emissions/NNS as/IN
act/NN builds/VBZ in/IN the/DT energy/NN
policy/NN act/NN in/IN and/CC keeps/VBZ
first/RB in/IN all/DT with/IN
the/DT business/NN in/IN quote/NN designing/VBG
the/DT efficiency/NN in/IN the/DT plant/NN
abundant/JJ supply/NN in/IN coal/NN we/PRP
meet/VB some/DT in/IN those/DT standards/NNS
the/DT price/NN in/IN heating/VBG their/PRP$
and/CC competitiveness/NN in/IN our/PRP$ facilities/NNS
the/DT safety/NN in/IN our/PRP$ workers/NNS
the/DT safety/NN in/IN our/PRP$ workers/NNS
for/IN fear/NN in/IN huge/JJ penalties/NNS
to/TO work/VB in/IN projects/NNS that/IN
that/IN some/DT in/IN the/DT almost/RB
timely/JJ implementation/NN in/IN nsr/NN clarification/NN
the/DT length/NN in/IN this/DT dais/VBZ
broad/JJ measure/NN in/IN economic/JJ activity/NN
proponents/NNS in/IN this/DT series/NN
few/JJ years/NNS in/IN the/DT clinton/NN
few/JJ years/NNS in/IN the/DT clinton/NN
the/DT rest/NN in/IN the/DT guys/NNS
the/DT rest/NN in/IN the/DT guys/NNS
few/JJ years/NNS in/IN the/DT clinton/NN
none/NN in/IN the/DT war/NN
of/IN all/DT in/IN the/DT programs/NNS
on/IN terms/NNS in/IN health/NN care/NN
to/TO vote/VB in/IN the/DT one/CD
of/IN September/NNP in/IN the/DT year/NN
had/VBD emblazoned/VBN in/IN them/PRP the/DT
at/IN one/CD in/IN my/PRP$ local/JJ
that/WDT was/VBD in/IN the/DT faces/NNS
the/DT faces/NNS in/IN my/PRP$ republican/JJ
yield/VB one/CD in/IN the/DT things/NNS
put/VB us/PRP in/IN the/DT road/NN
the/DT side/NN in/IN greed/NN
the/DT area/NN in/IN energy/NN efficiency/NN
every/DT sector/NN in/IN the/DT economy/NN
the/DT house/NN in/IN representatives/NNS for/IN
of/IN support/NN in/IN the/DT rule/NN
timely/JJ work/NN in/IN this/DT legislation/NN
a/DT hurricane/NN in/IN spending/NN here/RB
the/DT leadership/NN in/IN president/NN george/NN
save/VB tens/NNS in/IN billions/NNS on/IN
the/DT cost/NN in/IN hurricane/NN katrina/NN
are/VBP short/JJ in/IN energy/NN of/IN
are/VBP short/JJ in/IN energy/NN of/IN
and/CC much/RB in/IN that/DT reason/NN
reminds/VBZ me/PRP in/IN those/DT who/WP
the/DT chairman/NN in/IN the/DT committee/NN
legislation/NN builds/VBZ in/IN progress/NN we/PRP
those/DT citizens/NNS in/IN florida/NN but/CC
good/JJ friends/NNS in/IN mine/NN who/WP
the/DT issues/NNS in/IN the/DT day/NN
executive/JJ branch/NN in/IN government/NN on/IN
my/PRP$ friends/NNS in/IN the/DT other/JJ
and/CC members/NNS in/IN this/DT chamber/NN
is/VBZ one/CD in/IN the/DT conservative/JJ
seventytwo/JJ percent/NN in/IN farm/NN subsidy/NN
to/TO percent/NN in/IN recipients/NNS the/DT
when/WRB percent/NN in/IN ag/JJ money/NN
united/VBN states/NNS in/IN america/NN
growth/NN instead/RB in/IN listening/VBG to/TO
another/DT example/NN in/IN the/DT extreme/JJ
hired/VBD all/DT in/IN their/PRP$ cronies/NNS
on/IN committee/NN in/IN the/DT floor/NN
of/IN support/NN in/IN the/DT stupakboucher/NN
the/DT price/NN in/IN natural/JJ gas/NN
no/DT mention/NN in/IN natural/JJ gas/NN
gouging/NN section/NN in/IN this/DT bill/NN
a/DT family/NN in/IN four/CD must/MD
the/DT wake/NN in/IN severe/JJ weather/NN
the/DT gulf/NN in/IN mexico/NN
the/DT chairman/NN in/IN the/DT house/NN
debated/VBD many/JJ in/IN those/DT measures/NNS
of/IN fact/NN in/IN the/DT democratic/JJ
a/DT shortage/NN in/IN capacity/NN of/IN
an/DT attack/NN in/IN our/PRP$ public/JJ
within/IN miles/NNS in/IN a/DT coalpowered/JJ
the/DT risk/NN in/IN disease/NN to/TO
year/NN because/IN in/IN almost/RB nearby/JJ
the/DT risk/NN in/IN disease/NN to/TO
the/DT cost/NN in/IN gasoline/NN
the/DT name/NN in/IN helping/VBG the/DT
antigouging/JJ laws/NNS in/IN eliminating/VBG retail/JJ
the/DT secretary/NN in/IN energy/NN
the/DT secretary/NN in/IN energy/NN deems/VBZ
within/IN months/NNS in/IN enactment/NN consistent/JJ
of/IN section/NN in/IN the/DT ftc/NN
the/DT secretary/NN in/IN energy/NN deems/VBZ
fellow/JJ citizens/NNS in/IN the/DT devastated/VBN
infamous/JJ instances/NNS in/IN gasoline/NN price/NN
able/JJ job/NN in/IN pointing/VBG out/RP
out/RP some/DT in/IN the/DT things/NNS
amendment/NN some/DT in/IN his/PRP$ points/NNS
those/DT members/NNS in/IN both/DT sides/NNS
a/DT lot/NN in/IN the/DT gentleman/NN
a/DT time/NN in/IN crisis/NN
deepening/VBG suspicion/NN in/IN the/DT oil/NN
oil/NN companies/NNS in/IN down/RB to/TO
the/DT emphasis/NN in/IN those/DT who/WP
the/DT cost/NN in/IN a/DT gallon/NN
a/DT gallon/NN in/IN gas/NN
the/DT people/NNS in/IN the/DT gulf/NN
urging/VBG passage/NN in/IN our/PRP$ legislation/NN
the/DT balance/NN in/IN my/PRP$ time/NN
the/DT president/NN in/IN the/DT association/NN
the/DT association/NN in/IN defense/NN communities/NNS
about/IN half/NN in/IN the/DT oil/NN
gas/NN tanks/NNS in/IN our/PRP$ passenger/NN
the/DT amount/NN in/IN unjust/JJ profits/NNS
getting/VBG percent/NN in/IN what/WP we/PRP
next/JJ generation/NN in/IN st/JJ century/NN
the/DT dark/NN in/IN night/NN the/DT
are/VBP dozens/NNS in/IN cronies/NNS and/CC
do/VB all/DT in/IN this/DT of/IN
the/DT name/NN in/IN katrina/NN
medical/JJ problems/NNS in/IN the/DT eastern/JJ
eastern/JJ coast/NN in/IN the/DT united/VBN
gulf/NN coast/NN in/IN the/DT united/VBN
the/DT guise/NN in/IN helping/VBG hurricane/NN
speaker/NN one/CD in/IN the/DT things/NNS
the/DT time/NN in/IN katrina/NN and/CC
you/PRP saw/VBD in/IN the/DT television/NN
long/JJ lines/NNS in/IN cars/NNS at/IN
taking/VBG advantage/NN in/IN terrible/JJ situations/NNS
speaker/NN times/NNS in/IN tragedy/NN should/MD
to/TO upwards/NNS in/IN on/IN some/DT
reported/VBD out/RP in/IN committee/NN
been/VBN one/CD in/IN the/DT most/RBS
domestic/JJ sources/NNS in/IN oil/NN is/VBZ
the/DT findings/NNS in/IN the/DT national/JJ
national/JJ academy/NN in/IN sciences/NNS on/IN
same/JJ brand/NN in/IN gasoline/NN can/MD
the/DT wake/NN in/IN the/DT perfect/JJ
the/DT consideration/NN in/IN hr/NN the/DT
of/IN each/DT in/IN the/DT last/JJ
the/DT wake/NN in/IN hurricane/NN katrina/NN
supply/NN side/NN in/IN our/PRP$ gasoline/NN
other/JJ aspects/NNS in/IN hr/NN which/WDT
on/IN terms/NNS in/IN having/VBG the/DT
not/RB open/VB in/IN time/NN or/CC
for/IN those/DT in/IN you/PRP who/WP
this/DT side/NN in/IN the/DT aisle/NN
relies/VBZ exclusively/RB in/IN the/DT federal/JJ
best/JJS interest/NN in/IN their/PRP$ constituents/NNS
and/CC expansion/NN in/IN existing/VBG infrastructure/NN
his/PRP$ leadership/NN in/IN this/DT issue/NN
the/DT price/NN in/IN gasoline/NN
overall/JJ dependence/NN in/IN gasoline/NN and/CC
action/NN some/DT in/IN my/PRP$ constituents/NNS
the/DT price/NN in/IN gasoline/NN going/VBG
obviously/RB one/CD in/IN the/DT choke/VBP
on/IN favor/NN in/IN the/DT underlying/JJ
of/IN charge/NN in/IN shepherding/VBG the/DT
of/IN behalf/NN in/IN the/DT state/NN
on/IN favor/NN in/IN the/DT original/JJ
for/IN passage/NN in/IN the/DT personal/JJ
the/DT context/NN in/IN the/DT bill/NN
to/TO excess/JJ in/IN junk/NN food/NN
a/DT violation/NN in/IN state/NN or/CC
justifiably/RB relied/VBN in/IN such/JJ deceptive/JJ
the/DT founder/NN in/IN structure/NN house/NN
the/DT chairman/NN in/IN the/DT american/JJ
direct/JJ impact/NN in/IN the/DT nation/NN
certain/JJ types/NNS in/IN food/NN that/WDT
certain/JJ types/NNS in/IN restaurants/NNS as/IN
high/JJ rates/NNS in/IN childhood/NN obesity/NN
the/DT executives/NNS in/IN the/DT industry/NN
to/TO speak/VB in/IN behalf/NN on/IN
sense/NN piece/NN in/IN legislation/NN that/WDT
or/CC advertisers/NNS in/IN any/DT food/NN
a/DT number/NN in/IN whom/WP are/VBP
that/DT kind/NN in/IN food/NN of/IN
obesity/NN is/VBZ in/IN the/DT rise/NN
the/DT existence/NN in/IN fast/JJ food/NN
the/DT presence/NN in/IN a/DT local/JJ
the/DT root/NN in/IN the/DT problem/NN
never/RB heard/VBN in/IN anyone/NN pulling/VBG
and/CC loss/NN in/IN feeling/NN of/IN
anterior/JJ part/NN in/IN the/DT thigh/NN
its/PRP$ merits/NNS in/IN the/DT house/NN
the/DT practice/NN in/IN medicine/NN and/CC
that/DT field/NN in/IN medicine/NN to/TO
very/RB beginnings/NNS in/IN life/NN and/CC
about/IN some/DT in/IN the/DT things/NNS
the/DT least/JJS in/IN which/WDT is/VBZ
some/DT in/IN the/DT bullet/NN
immigration/NN issue/NN in/IN securing/VBG our/PRP$
care/NN as/IN in/IN course/NN many/JJ
course/NN many/JJ in/IN those/DT who/WP
a/DT result/NN in/IN lack/NN on/IN
supplements/NNS monitoring/VBG in/IN diet/NN increased/VBD
last/JJ couple/NN in/IN weeks/NNS here/RB
critical/JJ component/NN in/IN the/DT head/NN
long/JJ tradition/NN in/IN delivering/VBG comprehensive/JJ
a/DT lot/NN in/IN statistics/NNS and/CC
few/JJ minutes/NNS in/IN course/NN your/PRP$
consumption/NN act/NN in/IN
about/IN this/DT in/IN the/DT floor/NN
the/DT rule/NN in/IN my/PRP$ belt/NN
really/RB out/RB in/IN blind/JJ pride/NN
of/IN some/DT in/IN those/DT diseases/NNS
called/VBN toxemia/NN in/IN pregnancy/NN
extreme/JJ toxemia/NN in/IN pregnancy/NN before/IN
about/IN one/CD in/IN the/DT worst/JJS
and/CC then/RB in/IN course/NN childhood/NN
weigh/VB on/IN in/IN this/DT issue/NN
on/IN course/NN in/IN the/DT debate/NN
for/IN them/PRP in/IN this/DT part/NN
spend/VB money/NN in/IN prevention/NN rather/RB
jobs/NNS all/DT in/IN these/DT things/NNS
on/IN support/NN in/IN hr/NN the/DT
these/DT types/NNS in/IN frivolous/JJ lawsuits/NNS
the/DT role/NN in/IN the/DT united/VBN
the/DT behavior/NN in/IN the/DT bad/JJ
set/VBN forth/RB in/IN hr/NN the/DT
important/JJ piece/NN in/IN legislation/NN
be/VB focusing/VBG in/IN at/IN this/DT
as/IN many/JJ in/IN my/PRP$ colleagues/NNS
well/RB aware/JJ in/IN great/JJ intention/NN
the/DT eating/NN in/IN fast/JJ food/NN
that/IN many/JJ in/IN us/PRP took/VBD
after/IN years/NNS in/IN litigation/NN on/IN
state/NN transfer/NN in/IN her/PRP$ television/NN
and/CC expenditure/NN in/IN over/IN million/CD
trial/NN and/CC in/IN appeal/NN
the/DT least/JJS in/IN those/DT but/CC
we/PRP are/VBP in/IN the/DT floor/NN
certainly/RB friends/NNS in/IN young/JJ parents/NNS
a/DT lot/NN in/IN eating/VBG at/IN
jury/NN trial/NN in/IN issues/NNS in/IN
in/IN issues/NNS in/IN food/NN safety/NN
to/TO freedom/NN in/IN speech/NN by/IN
jury/NN trial/NN in/IN issues/NNS in/IN
in/IN issues/NNS in/IN food/NN safety/NN
to/TO freedom/NN in/IN speech/NN by/IN
honest/JJ debate/NN in/IN matters/NNS on/IN
am/VBP reminded/VBN in/IN the/DT book/NN
nation/NN incurs/VBZ in/IN obesityrelated/JJ conditions/NNS
concerns/VBZ all/DT in/IN us/PRP in/IN
in/IN us/PRP in/IN both/DT sides/NNS
national/JJ center/NN in/IN health/NN statistics/NNS
statistics/NNS percent/NN in/IN children/NNS of/IN
now/RB percent/NN in/IN america/NN s/VBZ
take/VB care/NN in/IN so/RB many/JJ
or/CC more/JJR in/IN patients/NNS who/WP
given/VBN ahead/RB in/IN time/NN whether/IN
careful/JJ eye/NN in/IN those/DT children/NNS
massive/JJ amounts/NNS in/IN money/NN
save/VB billions/NNS in/IN dollars/NNS on/IN
changing/VBG some/DT in/IN that/DT system/NN
the/DT area/NN in/IN prenatal/JJ care/NN
the/DT role/NN in/IN parent/NN and/CC
the/DT proportion/NN in/IN obese/JJ children/NNS
increased/VBD incidences/NNS in/IN disease/NN associated/VBN
as/IN members/NNS in/IN congress/NN are/VBP
are/VBP working/VBG in/IN prevention/NN in/IN
in/IN prevention/NN in/IN obesity/NN rather/RB
the/DT end/NN in/IN the/DT line/NN
so/RB much/JJ in/IN the/DT increases/NNS
the/DT area/NN in/IN mental/JJ health/NN
still/RB abound/VBP in/IN television/NN calling/VBG
a/DT sign/NN in/IN weakness/NN instead/RB
weakness/NN instead/RB in/IN a/DT real/JJ
the/DT outcome/NN in/IN the/DT hurricanes/NNS
the/DT level/NN in/IN posttraumatic/JJ stress/NN
a/DT couple/NN in/IN important/JJ factors/NNS
both/DT areas/NNS in/IN the/DT conservative/JJ
the/DT area/NN in/IN children/NNS s/VBZ
to/TO percent/NN in/IN them/PRP will/MD
modern/JJ system/NN in/IN health/NN care/NN
in/IN course/NN another/DT
the/DT state/NN in/IN california/NN for/IN
cost/NN savings/NNS in/IN billion/CD on/IN
the/DT story/NN in/IN the/DT fellow/NN
who/WP was/VBD in/IN his/PRP$ hands/NNS
taking/VBG care/NN in/IN the/DT disparity/NN
the/DT disparity/NN in/IN outcomes/NNS between/IN
to/TO work/VB in/IN those/DT disparities/NNS
those/DT disparities/NNS in/IN outcomes/NNS and/CC
the/DT issue/NN in/IN community/NN health/NN
is/VBZ one/CD in/IN those/DT things/NNS
this/DT area/NN in/IN health/NN care/NN
the/DT gloves/NNS in/IN this/DT put/VBN
the/DT ethos/NN in/IN personal/JJ responsibility/NN
the/DT role/NN in/IN the/DT federal/JJ
over/IN matters/NNS in/IN civil/JJ tort/NN
unconstitutional/JJ expansions/NNS in/IN federal/JJ power/NN
on/IN lovers/NNS in/IN liberty/NN
disturbing/JJ trend/NN in/IN federalizing/VBG tort/NN
the/DT violation/NN in/IN principles/NNS on/IN
branch/NN instead/RB in/IN respecting/VBG the/DT
the/DT separation/NN in/IN powers/NNS by/IN
proper/JJ outcome/NN in/IN these/DT cases/NNS
the/DT cases/NNS in/IN their/PRP$ merits/NNS
instead/RB in/IN having/VBG to/TO
jury/NN instead/RB in/IN favorable/JJ politicians/NNS
the/DT rule/NN in/IN law/NN and/CC
of/IN support/NN in/IN hr/NN the/DT
health/NN problems/NNS in/IN people/NNS who/WP
on/IN food/NN in/IN a/DT regular/JJ
copious/JJ orders/NNS in/IN supersized/JJ mcdonald/NN
the/DT place/NN in/IN the/DT law/NN
other/JJ body/NN in/IN this/DT legislation/NN
the/DT principle/NN in/IN personal/JJ responsibility/NN
all/DT types/NNS in/IN the/DT restaurants/NNS
the/DT passage/NN in/IN the/DT personal/JJ
the/DT spirit/NN in/IN questions/NNS
great/JJ majority/NN in/IN food/NN additives/NNS
the/DT public/NN in/IN some/DT kind/NN
some/DT kind/NN in/IN additive/JJ of/IN
a/DT period/NN in/IN time/NN does/VBZ
it/PRP regardless/RB in/IN caloric/JJ intake/NN
probably/RB one/CD in/IN the/DT reasons/NNS
these/DT kinds/NNS in/IN details/NNS if/IN
the/DT oversight/NN in/IN the/DT judicial/JJ
fundamental/JJ right/NN in/IN every/DT american/NN
as/IN part/NN in/IN their/PRP$ overall/JJ
the/DT province/NN in/IN the/DT states/NNS
the/DT middle/NN in/IN responding/VBG on/IN
may/MD be/VB in/IN the/DT horizon/NN
its/PRP$ will/MD in/IN the/DT states/NNS
some/DT in/IN us/PRP are/VBP
most/RBS in/IN the/DT lawsuits/NNS
products/NNS because/IN in/IN the/DT mounting/VBG
the/DT argument/NN in/IN the/DT other/JJ
hides/VBZ thousands/NNS in/IN serious/JJ adverse/JJ
strong/JJ support/NN in/IN hr/NN the/DT
an/DT epidemic/JJ in/IN obesity/NN of/IN
a/DT handful/NN in/IN obesity/NN lawsuits/NNS
other/JJ side/NN in/IN the/DT aisle/NN
is/VBZ one/CD in/IN the/DT great/JJ
system/NN is/VBZ in/IN an/DT unsustainable/JJ
preventable/JJ cause/NN in/IN death/NN on/IN
as/IN members/NNS in/IN congress/NN we/PRP
citizens/NNS quality/NN in/IN life/NN
on/IN terms/NNS in/IN offering/VBG nutritious/JJ
new/JJ sources/NNS in/IN revenue/NN outside/IN
revenue/NN outside/IN in/IN the/DT tax/NN
other/JJ ways/NNS in/IN looking/VBG for/IN
ever/RB settle/VB in/IN under/IN any/DT
on/IN support/NN in/IN s/VBZ the/DT
the/DT protection/NN in/IN lawful/JJ commerce/NN
the/DT threat/NN in/IN lawsuits/NNS has/VBZ
upon/IN misuse/NN in/IN the/DT firearm/NN
the/DT protection/NN in/IN lawful/JJ commerce/NN
the/DT burden/NN in/IN unsubstantiated/JJ lawsuits/NNS
the/DT infringement/NN in/IN our/PRP$ second/JJ
amendment/NN right/NN in/IN our/PRP$ citizens/NNS
lawsuits/NNS rest/NN in/IN the/DT misguided/JJ
the/DT protection/NN in/IN lawful/JJ commerce/NN
protecting/VBG causes/NNS in/IN action/NN based/VBN
the/DT rise/NN in/IN frivolous/JJ lawsuits/NNS
the/DT hands/NNS in/IN these/DT criminals/NNS
these/DT types/NNS in/IN cases/NNS to/TO
egregious/JJ forms/NNS in/IN corporate/JJ welfare/NN
americans/NNS one/CD in/IN their/PRP$ most/JJS
is/VBZ out/RP in/IN control/NN
the/DT protection/NN in/IN lawful/JJ commerce/NN
a/DT crime/NN in/IN violence/NN or/CC
or/CC seller/NN in/IN a/DT qualified/JJ
the/DT hands/NNS in/IN the/DT dc/NN
for/IN breach/NN in/IN contract/NN or/CC
the/DT purchase/NN in/IN a/DT firearm/NN
or/CC manufacture/NN in/IN a/DT firearm/NN
the/DT committee/NN in/IN the/DT judiciary/NN
unlawful/JJ misuse/NN in/IN a/DT firearm/NN
good/JJ faith/NN in/IN our/PRP$ legal/JJ
went/VBD out/RB in/IN business/NN on/IN
strong/JJ support/NN in/IN s/VBZ the/DT
the/DT protection/NN in/IN lawful/JJ commerce/NN
the/DT actions/NNS in/IN third/JJ parties/NNS
a/DT pistol/NN in/IN him/PRP for/IN
the/DT protection/NN in/IN lawful/JJ commerce/NN
the/DT protection/NN in/IN lawful/JJ commerce/NN
the/DT hopes/NNS in/IN bankrupting/VBG the/DT
firearms/NNS breaches/NNS in/IN contract/NN criminal/JJ
the/DT protection/NN in/IN lawful/JJ commerce/NN
on/IN pursuit/NN in/IN ideology/NN
nuisance/NN violations/NNS in/IN firearm/JJ manufacturers/NNS
of/IN search/NN in/IN a/DT case/NN
timehonored/JJ tradition/NN in/IN acting/VBG responsibly/RB
my/PRP$ state/NN in/IN pennsylvania/NN of/IN
senate/NN version/NN in/IN this/DT bill/NN
not/RB one/CD in/IN these/DT amendments/NNS
the/DT committee/NN in/IN rules/NNS last/JJ
some/DT member/NN in/IN the/DT family/NN
major/JJ crackdowns/NNS in/IN straw/NN purchases/NNS
on/IN each/DT in/IN these/DT instances/NNS
historically/RB supporters/NNS in/IN democrats/NNS who/WP
of/IN derogation/NN in/IN the/DT rights/NNS
the/DT rights/NNS in/IN american/JJ citizens/NNS
the/DT line/NN in/IN duty/NN with/IN
instead/RB in/IN honoring/VBG them/PRP
international/JJ brotherhood/NN in/IN police/NN officers/NNS
on/IN chiefs/NNS in/IN police/NN chiefs/NNS
are/VBP all/DT in/IN our/PRP$ constituents/NNS
immediate/JJ dismissal/NN in/IN pending/VBG lawsuits/NNS
or/CC sellers/NNS in/IN weapons/NNS should/MD
and/CC sale/NN in/IN firearms/NNS is/VBZ
or/CC seller/NN in/IN arms/NNS acts/NNS
the/DT district/NN in/IN columbia/NN and/CC
an/DT example/NN in/IN a/DT claim/NN
immediate/JJ dismissal/NN in/IN civil/JJ liability/NN
are/VBP pending/VBG in/IN the/DT date/NN
the/DT date/NN in/IN enactment/NN
a/DT member/NN in/IN the/DT houston/NN
a/DT suit/NN in/IN liability/NN against/IN
the/DT hearts/NNS in/IN the/DT second/JJ
the/DT guns/NNS in/IN a/DT street/NN
own/JJ state/NN in/IN texas/NNS a/DT
the/DT case/NN in/IN the/DT malignant/JJ
troubled/JJ piece/NN in/IN legislation/NN
the/DT scope/NN in/IN the/DT bill/NN
unlawful/JJ transfer/NN in/IN a/DT machine/NN
the/DT definition/NN in/IN qualified/VBN civil/JJ
the/DT use/NN in/IN firearms/NNS
the/DT families/NNS in/IN all/DT officers/NNS
the/DT doctrine/NN in/IN negligence/NN per/IN
shameful/JJ attack/NN in/IN the/DT legal/JJ
legal/JJ rights/NNS in/IN countless/JJ innocent/JJ
innocent/JJ victims/NNS in/IN gun/NN violence/NN
for/IN members/NNS in/IN the/DT law/NN
the/DT sellers/NNS in/IN weapons/NNS that/WDT
deadly/JJ characteristics/NNS in/IN semiautomatic/JJ weapons/NNS
home/NN state/NN in/IN texas/NNS
the/DT victims/NNS in/IN gun/NN violence/NN
the/DT scope/NN in/IN the/DT bill/NN
the/DT age/NN in/IN
a/DT court/NN in/IN law/NN
make/VB mention/NN in/IN the/DT fact/NN
the/DT fact/NN in/IN the/DT kind/NN
the/DT democrats/NNS in/IN this/DT committee/NN
the/DT types/NNS in/IN cases/NNS that/WDT
the/DT protection/NN in/IN lawful/JJ commerce/NN
the/DT line/NN in/IN duty/NN are/VBP
the/DT right/NN in/IN people/NNS to/TO
the/DT number/NN in/IN people/NNS killed/VBN
every/DT year/NN in/IN health/NN care/NN
care/NN loss/NN in/IN productivity/NN and/CC
the/DT rights/NNS in/IN people/NNS to/TO
on/IN front/NN in/IN us/PRP as/IN
remind/FW many/JJ in/IN my/PRP$ colleagues/NNS
the/DT commission/NN in/IN a/DT crime/NN
over/RP percent/NN in/IN the/DT harm/NN
