of/IN matters/NNS on/IN constitutionality/NN
lawful/JJ commerce/NN on/IN arms/NNS act/NN
no/DT chance/NN on/IN going/VBG anywhere/RB
losing/VBG lawsuit/NN on/IN pursuit/NN on/IN
on/IN pursuit/NN on/IN ideology/NN
bullets/NNS capable/JJ on/IN piercing/VBG body/NN
the/DT sale/NN on/IN weapons/NNS to/TO
not/RB one/CD on/IN these/DT amendments/NNS
the/DT foundation/NN on/IN an/DT open/JJ
have/VBP resulted/VBN on/IN major/JJ crackdowns/NNS
the/DT impact/NN on/IN this/DT bill/NN
the/DT house/NN on/IN representatives/NNS and/CC
or/CC seller/NN on/IN a/DT firearm/NN
of/IN behalf/NN on/IN officers/NNS injured/VBN
or/CC killed/VBN on/IN the/DT line/NN
the/DT line/NN on/IN duty/NN by/IN
immediate/JJ dismissal/NN on/IN civil/JJ liability/NN
found/VBD one/CD on/IN the/DT guns/NNS
lofgren/VBP xz/NN on/IN offering/VBG an/DT
the/DT definition/NN on/IN qualified/VBN civil/JJ
officers/NNS acting/VBG on/IN that/DT capacity/NN
people/NNS killed/VBN on/IN this/DT country/NN
care/NN loss/NN on/IN productivity/NN and/CC
remind/FW many/JJ on/IN my/PRP$ colleagues/NNS
certainly/RB even/RB on/IN the/DT states/NNS
eve/NN of/IN on/IN my/PRP$ hometown/NN
my/PRP$ hometown/NN on/IN worcester/NN massachusetts/NNS
to/TO criminals/NNS on/IN exchange/NN for/IN
with/IN members/NNS on/IN the/DT judiciary/NN
committee/NN that/WDT on/IN fact/NN this/DT
rise/NN today/NN on/IN strong/JJ opposition/NN
the/DT protection/NN on/IN lawful/JJ commerce/NN
futile/JJ cycle/NN on/IN death/NN extending/VBG
and/CC sellers/NNS on/IN firearms/NNS and/CC
the/DT cost/NN on/IN the/DT secure/JJ
handgun/NN irrespective/RB on/IN if/IN that/DT
wide/JJ scope/NN on/IN criminal/JJ laws/NNS
instead/RB on/IN voting/NN of/IN
james/VBZ sensenbrenner/NN on/IN my/PRP$ opposition/NN
rights/NNS provisions/NNS on/IN s/PRP
the/DT history/NN on/IN tort/NN law/NN
remarkable/JJ degree/NN on/IN judicial/JJ consensus/NN
to/TO do/VB on/IN a/DT particular/JJ
the/DT timing/NN on/IN the/DT conviction/NN
the/DT statute/NN on/IN limitations/NNS of/IN
the/DT misconduct/NN on/IN an/DT industry/NN
recent/JJ trends/NNS on/IN abusive/JJ litigation/NN
the/DT theory/NN on/IN liability/NN that/WDT
the/DT actions/NNS on/IN those/DT who/WP
appropriate/JJ branch/NN on/IN government/NN to/TO
protect/VBP them/PRP on/IN the/DT line/NN
the/DT line/NN on/IN fire/NN
see/VB list/NN on/IN firearms/NNS that/IN
washington/NN department/NN on/IN licensing/NN and/CC
other/JJ information/NN on/IN regards/VBZ to/TO
make/VB note/NN on/IN the/DT bound/VBN
the/DT oversight/NN on/IN the/DT judicial/JJ
important/JJ piece/NN on/IN legislation/NN today/NN
just/RB died/VBD on/IN the/DT other/JJ
house/NN and/CC on/IN the/DT senate/NN
is/VBZ bipartisan/JJ on/IN this/DT nation/NN
distinguished/JJ chairman/NN on/IN the/DT committee/NN
his/PRP$ help/NN on/IN bringing/VBG this/DT
this/DT bill/NN on/IN shepherding/VBG it/PRP
recent/JJ case/NN on/IN this/DT last/JJ
it/PRP protection/NN on/IN lawful/JJ commerce/NN
lawful/JJ commerce/NN on/IN arms/NNS act/NN
the/DT families/NNS on/IN many/JJ in/IN
their/PRP$ day/NN on/IN court/NN and/CC
the/DT impact/NN on/IN this/DT bill/NN
were/VBD shot/VBN on/IN the/DT line/NN
the/DT line/NN on/IN duty/NN with/IN
important/JJ issue/NN on/IN protecting/VBG the/DT
obtain/VB weapons/NNS on/IN the/DT united/VBN
from/IN January/NNP on/IN this/DT year/NN
through/IN October/NNP on/IN last/JJ year/NN
the/DT safety/NN on/IN other/JJ passengers/NNS
a/DT vote/NN on/IN committee/NN of/IN
the/DT snipers/NNS on/IN this/DT area/NN
the/DT victims/NNS on/IN gun/NN violence/NN
the/DT guns/NNS on/IN the/DT hands/NNS
the/DT kind/NN on/IN rampage/NN that/IN
lawful/JJ commerce/NN on/IN arms/NNS act/NN
instead/RB on/IN trying/VBG to/TO
fundamental/JJ misunderstanding/NN on/IN american/JJ tort/NN
firearms/NNS lack/VBP on/IN security/NN or/CC
free/JJ those/DT on/IN the/DT firearms/NNS
and/CC scope/NN on/IN s/PRP and/CC
muchneeded/JJ piece/NN on/IN legislation/NN
join/VB me/PRP on/IN supporting/VBG senate/NN
the/DT subject/NN on/IN discussion/NN by/IN
many/JJ hours/NNS on/IN agony/JJ i/FW
not/RB discussed/VBN on/IN committee/NN which/WDT
the/DT construct/VB on/IN the/DT final/JJ
an/DT act/NN on/IN congress/NN
highest/JJS standard/NN on/IN regulatory/JJ oversight/NN
the/DT ability/NN on/IN child/NN to/TO
the/DT goals/NNS on/IN this/DT campaign/NN
in/IN thousands/NNS on/IN floridians/NNS
been/VBN debated/VBN on/IN this/DT committee/NN
much/RB on/IN what/WP has/VBZ
church/NN participate/VB on/IN lowincome/NN housing/NN
take/VB all/DT on/IN the/DT restrictions/NNS
conservative/JJ elements/NNS on/IN the/DT republican/JJ
a/DT condition/NN on/IN the/DT bill/NN
giving/VBG practices/NNS on/IN fannie/NN mae/NN
other/JJ side/NN on/IN the/DT aisle/NN
a/DT number/NN on/IN amendments/NNS later/RB
to/TO weigh/VB on/IN of/IN that/DT
in/IN behalf/NN on/IN the/DT funds/NNS
conference/NN board/NN on/IN the/DT society/NN
the/DT society/NN on/IN jesus/NN on/IN
on/IN jesus/NN on/IN the/DT united/VBN
the/DT chairman/NN on/IN the/DT rules/NNS
was/VBD supported/VBN on/IN the/DT committee/NN
i/FW rise/NN on/IN opposition/NN to/TO
our/PRP$ debate/NN on/IN the/DT gse/NN
and/CC hundreds/NNS on/IN hours/NNS and/CC
and/CC hundreds/NNS on/IN witnesses/NNS to/TO
best/JJS examples/NNS on/IN bipartisan/JJ activity/NN
the/DT restrictions/NNS on/IN the/DT manager/NN
never/RB considered/VBN on/IN the/DT subcommittee/NN
gses/NNS but/CC on/IN strong/JJ opposition/NN
nonprofit/JJ recipient/JJ on/IN a/DT housing/NN
to/TO engage/VB on/IN our/PRP$ democratic/JJ
nonprofit/JJ recipient/JJ on/IN a/DT housing/NN
most/RBS fundamental/JJ on/IN our/PRP$ civil/JJ
both/DT sides/NNS on/IN the/DT aisle/NN
reported/VBN out/RP on/IN the/DT committee/NN
bipartisan/JJ piece/NN on/IN legislation/NN
committee/NN vote/NN on/IN favor/NN on/IN
on/IN favor/NN on/IN the/DT bill/NN
are/VBP part/NN on/IN a/DT pattern/NN
republican/JJ party/NN on/IN an/DT attack/NN
the/DT icons/NNS on/IN the/DT civil/JJ
democratic/JJ elections/NNS on/IN this/DT country/NN
national/JJ association/NN on/IN catholic/NN social/JJ
million/CD people/NNS on/IN need/NN every/DT
reform/NN act/NN on/IN and/CC to/TO
existing/VBG limits/NNS on/IN hr/NN in/IN
prevent/VBP abuse/NN on/IN this/DT funding/NN
offensive/JJ language/NN on/IN the/DT manager/NN
small/JJ portion/NN on/IN the/DT aftertax/JJ
aftertax/JJ profits/NNS on/IN the/DT federally/RB
the/DT language/NN on/IN here/RB that/DT
real/JJ terms/NNS on/IN elderly/JJ and/CC
the/DT number/NN on/IN section/NN vouchers/NNS
amendments/NNS made/VBN on/IN order/NN four/CD
the/DT issue/NN on/IN fund/NN availability/NN
by/IN direction/NN on/IN the/DT committee/NN
for/IN hour/NN on/IN general/JJ debate/NN
the/DT purpose/NN on/IN amendment/NN and/CC
because/RB on/IN their/PRP$ size/NN
appropriate/JJ oversight/NN on/IN this/DT new/JJ
and/CC undertaken/VBN on/IN this/DT rule/NN
a/DT member/NN on/IN the/DT minority/NN
important/JJ but/CC on/IN order/NN to/TO
a/DT series/NN on/IN strategic/JJ premises/NNS
new/JJ houses/NNS on/IN this/DT country/NN
my/PRP$ church/NN on/IN the/DT entire/JJ
methodist/JJ church/NN on/IN dallas/NNS texas/NNS
xz/NN chairman/NN on/IN the/DT committee/NN
the/DT balance/NN on/IN my/PRP$ time/NN
the/DT idea/NN on/IN providing/VBG funds/NNS
know/VBP because/RB on/IN the/DT leadership/NN
the/DT inclusion/NN on/IN an/DT affordable/JJ
housing/NN fund/NN on/IN the/DT bill/NN
the/DT bill/NN on/IN committee/NN
the/DT wall/NN on/IN my/PRP$ office/NN
and/CC represent/VB on/IN this/DT the/DT
the/DT interests/NNS on/IN the/DT most/RBS
the/DT poor/JJ on/IN this/DT country/NN
came/VBD out/RP on/IN the/DT committee/NN
or/CC understanding/VBG on/IN financial/JJ institutions/NNS
investment/NN portfolios/NNS on/IN the/DT two/CD
an/DT analysis/NN on/IN the/DT potential/JJ
to/TO engage/VB on/IN professional/JJ study/NN
otherwise/RB act/VB on/IN the/DT best/JJS
best/JJS interest/NN on/IN the/DT united/VBN
to/TO one/CD on/IN those/DT trailers/NNS
what/WP kind/NN on/IN response/NN do/VBP
a/DT number/NN on/IN years/NNS now/RB
a/DT lot/NN on/IN legislation/NN of/IN
best/JJS interests/NNS on/IN america/NN at/IN
other/JJ people/NNS on/IN congress/NN a/DT
this/DT means/VBZ on/IN terms/NNS in/IN
a/DT vote/NN on/IN that/DT would/MD
many/JJ members/NNS on/IN the/DT cloth/NN
the/DT cloth/NN on/IN congress/NN most/RBS
suffer/VB all/DT on/IN the/DT name/NN
theoretical/JJ term/NN on/IN systemic/JJ risk/NN
central/JJ coast/NN on/IN california/NN will/MD
on/IN the/DT nature/NN
ranking/JJ member/NN on/IN the/DT minority/NN
major/JJ role/NN on/IN shaping/VBG our/PRP$
the/DT impact/NN on/IN the/DT affordable/JJ
do/VB that/DT on/IN the/DT appropriations/NNS
xz/NN one/CD on/IN our/PRP$ most/RBS
for/IN housing/NN on/IN particular/JJ
very/RB aware/JJ on/IN the/DT need/NN
certain/JJ level/NN on/IN discomfort/NN in/IN
and/CC some/DT on/IN my/PRP$ not/RB
a/DT lot/NN on/IN what/WP is/VBZ
a/DT lot/NN on/IN us/PRP like/IN
areas/NNS some/DT on/IN the/DT restrictions/NNS
get/VB everything/NN on/IN the/DT manager/NN
the/DT restrictions/NNS on/IN what/WP they/PRP
faithbased/JJ groups/NNS on/IN and/CC have/VB
ranking/JJ member/NN on/IN the/DT subcommittee/NN
am/VBP aware/JJ on/IN no/DT restriction/NN
in/IN behalf/NN on/IN the/DT united/VBN
states/NNS conference/NN on/IN catholic/JJ bishops/NNS
the/DT provision/NN on/IN affordable/JJ housing/NN
participating/VBG department/NN on/IN social/JJ development/NN
american/JJ association/NN on/IN homes/NNS and/CC
the/DT load/NN on/IN helping/VBG our/PRP$
dear/RB leaders/NNS on/IN the/DT house/NN
the/DT house/NN on/IN representatives/NNS we/PRP
the/DT union/NN on/IN orthodox/JJ jewish/NN
jewish/NN congregations/NNS on/IN america/NN to/TO
affiliated/JJ organizations/NNS on/IN affordable/JJ housing/NN
oppose/VB inclusion/NN on/IN these/DT kinds/NNS
registration/NN act/NN on/IN motor/NN voter/NN
successful/JJ development/NN on/IN affordable/JJ housing/NN
the/DT leadership/NN on/IN the/DT committee/NN
back/RP control/NN on/IN the/DT house/NN
this/DT interchange/NN on/IN events/NNS bill/NN
comes/VBZ out/RP on/IN committee/NN majority/NN
right/RB many/JJ on/IN them/PRP because/IN
home/NN people/NNS on/IN low/JJ and/CC
those/DT on/IN us/PRP in/IN
small/JJ minority/NN on/IN radical/JJ conservative/JJ
a/DT part/NN on/IN the/DT manager/NN
saw/VBD all/DT on/IN these/DT accounting/NN
this/DT liquidity/NN on/IN the/DT secondarymortgage/NN
the/DT size/NN on/IN the/DT gse/NN
key/JJ ingredient/NN on/IN support/NN for/IN
be/VB filed/VBN on/IN a/DT timely/JJ
the/DT ability/NN on/IN those/DT who/WP
the/DT purposes/NNS on/IN constructing/VBG affordable/JJ
thereafter/RB participate/VB on/IN encouraging/JJ voter/NN
and/CC made/VBN on/IN order/NN by/IN
may/MD be/VB on/IN the/DT same/JJ
a/DT multitude/NN on/IN subjects/NNS that/WDT
that/WDT are/VBP on/IN the/DT bill/NN
would/MD make/VB on/IN order/NN an/DT
issue/NN if/IN on/IN fact/NN the/DT
from/IN participating/VBG on/IN any/DT efforts/NNS
prevent/VBP abuse/NN on/IN this/DT funding/NN
the/DT subcommittee/NN on/IN jurisdiction/NN i/FW
hear/VB scores/NNS on/IN witnesses/NNS
good/JJ piece/NN on/IN legislation/NN
overwhelming/JJ backing/NN on/IN my/PRP$ colleagues/NNS
a/DT vote/NN on/IN to/TO while/IN
about/IN some/DT on/IN the/DT amendments/NNS
treasury/NN line/NN on/IN credit/NN for/IN
hope/VBP all/DT on/IN my/PRP$ colleagues/NNS
will/MD add/VB on/IN the/DT terms/NNS
walk/VB out/RP on/IN here/RB today/NN
both/DT sides/NNS on/IN the/DT aisle/NN
bipartisan/JJ support/NN on/IN the/DT committee/NN
the/DT charters/NNS on/IN the/DT federal/JJ
the/DT boards/NNS on/IN fannie/NN mae/NN
on/IN my/PRP$ view/NN
the/DT board/NN on/IN fannie/NN mae/NN
unique/JJ nature/NN on/IN their/PRP$ charters/NNS
the/DT markup/NN on/IN this/DT bill/NN
the/DT basis/NN on/IN knowing/VBG the/DT
to/TO some/DT on/IN the/DT debate/NN
the/DT department/NN on/IN the/DT treasury/NN
hold/VBP mortgages/NNS on/IN their/PRP$ portfolios/NNS
on/IN the/DT s/PRP
reported/VBD out/RP on/IN committee/NN
coming/VBG out/RP on/IN the/DT committee/NN
undemocratic/JJ provisions/NNS on/IN the/DT manager/NN
the/DT creation/NN on/IN an/DT affordable/JJ
the/DT communities/NNS on/IN color/NN and/CC
the/DT bidding/NN on/IN rightwing/VBG ideologues/NNS
the/DT core/NN on/IN our/PRP$ democracy/NN
housing/NN program/NN on/IN the/DT federal/JJ
most/RBS fundamental/JJ on/IN our/PRP$ civil/JJ
the/DT ability/NN on/IN families/NNS to/TO
ultimately/RB resulting/VBG on/IN a/DT negative/JJ
or/CC decreases/VBZ on/IN a/DT housing/NN
the/DT republicans/NNS on/IN good/JJ faith/NN
the/DT hands/NNS on/IN those/DT groups/NNS
as/IN chairman/NN on/IN the/DT subcommittee/NN
the/DT effect/NN on/IN the/DT affordable/JJ
a/DT vote/NN on/IN to/TO we/PRP
leadership/NN role/NN on/IN developing/VBG the/DT
fund/NN sections/NNS on/IN the/DT bill/NN
a/DT lot/NN on/IN sense/NN something/NN
house/NN on/IN representatives/NNS committee/NN
revenue/NN code/NN on/IN
of/IN section/NN on/IN hr/NN would/MD
does/VBZ not/RB on/IN any/DT way/NN
a/DT copy/NN on/IN our/PRP$ exchange/NN
exclusive/JJ jurisdiction/NN on/IN the/DT committee/NN
the/DT subject/NN on/IN a/DT housesenate/JJ
on/IN addition/NN the/DT
the/DT proceedings/NNS on/IN the/DT new/JJ
very/RB interested/JJ on/IN this/DT entire/JJ
tie/NN vote/NN on/IN the/DT committee/NN
the/DT perception/NN on/IN the/DT federal/JJ
me/PRP first/RB on/IN all/DT say/VBP
with/IN us/PRP on/IN committee/NN of/IN
lose/VB sight/NN on/IN the/DT fact/NN
families/NNS many/JJ on/IN them/PRP middleincome/NN
housing/NN needs/NNS on/IN recent/JJ years/NNS
or/CC living/NN on/IN substandard/NN housing/NN
the/DT line/NN on/IN credit/NN is/VBZ
to/TO engage/VB on/IN a/DT massive/JJ
to/TO holders/NNS on/IN gse/NN debt/NN
and/CC on/IN course/NN independent/JJ
the/DT laws/NNS on/IN the/DT same/JJ
other/JJ parts/NNS on/IN the/DT executive/JJ
the/DT puncturing/NN on/IN the/DT housing/NN
and/CC fulfillment/NN on/IN their/PRP$ religious/JJ
the/DT right/NN on/IN every/DT american/JJ
to/TO vote/VB on/IN every/DT election/NN
more/RBR precious/JJ on/IN a/DT free/JJ
a/DT voice/NN on/IN the/DT election/NN
undermine/VB years/NNS on/IN progress/NN
of/IN members/NNS on/IN our/PRP$ senior/JJ
the/DT ability/NN on/IN nonprofits/NNS to/TO
final/JJ bill/NN on/IN conference/NN
the/DT intention/NN on/IN the/DT language/NN
the/DT house/NN on/IN representatives/NNS voted/VBD
reform/NN act/NN on/IN
on/IN short/JJ it/PRP
speech/NN rights/NNS on/IN nonprofit/JJ organizations/NNS
the/DT words/NNS on/IN our/PRP$ distinguished/JJ
the/DT house/NN on/IN representatives/NNS to/TO
a/DT vote/NN on/IN of/IN may/MD
and/CC filed/VBN on/IN the/DT house/NN
rules/NNS committee/NN on/IN room/NN h/NN
room/NN h/NN on/IN the/DT capitol/NN
ultimately/RB included/VBN on/IN the/DT bill/NN
the/DT benefits/NNS on/IN these/DT gses/NNS
the/DT arguments/NNS on/IN the/DT banks/NNS
to/TO participate/VB on/IN the/DT production/NN
the/DT center/NN on/IN people/NNS s/VBZ
to/TO many/JJ on/IN us/PRP here/RB
the/DT commission/NN on/IN making/VBG its/PRP$
support/VB some/DT on/IN dod/NN s/VBZ
we/PRP were/VBD on/IN the/DT crosshairs/NNS
and/CC some/DT on/IN the/DT issues/NNS
the/DT value/NN on/IN the/DT air/NN
short/JJ end/NN on/IN the/DT recommendation/NN
out/RP those/DT on/IN us/PRP who/WP
a/DT lot/NN on/IN people/NNS want/VBP
the/DT part/NN on/IN the/DT pentagon/NN
air/NN unit/NN on/IN knoxville/NN with/IN
lose/VB one/CD on/IN the/DT best/JJS
guard/NN units/NNS on/IN the/DT country/NN
away/RP all/DT on/IN the/DT aircraft/NN
national/JJ security/NN on/IN the/DT united/VBN
potential/JJ impact/NN on/IN realignments/NNS of/IN
the/DT case/NN on/IN ellington/NN field/NN
ellington/NN field/NN on/IN houston/NN texas/NNS
the/DT department/NN on/IN defense/NN and/CC
provided/VBD streamlining/VBG on/IN bases/NNS already/RB
was/VBD included/VBN on/IN the/DT house/NN
as/IN costs/NNS on/IN weapons/NNS systems/NNS
on/IN conclusion/NN i/FW
thank/VB all/DT on/IN the/DT commissioners/NNS
in/IN one/CD on/IN the/DT most/RBS
the/DT balance/NN on/IN my/PRP$ time/NN
alert/JJ out/RP on/IN ellington/NN which/WDT
with/IN thousands/NNS on/IN casualties/NNS
minutes/NNS because/IN on/IN the/DT close/JJ
multiple/JJ targets/NNS on/IN the/DT area/NN
savings/NNS estimated/VBN on/IN the/DT dod/NN
economy/NN billions/NNS on/IN dollars/NNS
an/DT amendment/NN on/IN the/DT armed/JJ
that/IN disapproval/NN on/IN the/DT brac/JJ
another/DT round/NN on/IN base/NN closures/NNS
base/NN closures/NNS on/IN the/DT very/RB
troubles/NNS me/PRP on/IN this/DT one/CD
they/PRP destroyed/VBD on/IN my/PRP$ opinion/NN
this/DT resolution/NN on/IN disapproval/NN in/IN
the/DT importance/NN on/IN community/NN leaders/NNS
had/VBD some/DT on/IN the/DT most/RBS
of/IN behalf/NN on/IN our/PRP$ state/NN
we/PRP saw/VBD on/IN the/DT days/NNS
section/NN d/SYM on/IN public/JJ law/NN
the/DT committee/NN on/IN the/DT whole/JJ
the/DT department/NN on/IN defense/NN released/VBN
accounting/NN service/NN on/IN cleveland/NN ohio/NN
track/NN record/NN on/IN innovation/NN and/CC
on/IN addition/NN i/FW
they/PRP did/VBD on/IN supporting/VBG dfas/NNS
the/DT department/NN on/IN defense/NN recommendations/NNS
by/IN some/DT on/IN those/DT members/NNS
have/VB been/VBN on/IN some/DT in/IN
commission/NN noted/VBD on/IN its/PRP$ report/NN
the/DT list/NN on/IN recommendations/NNS that/WDT
now/RB left/VBN on/IN serious/JJ financial/JJ
the/DT burden/NN on/IN maintaining/VBG these/DT
of/IN violation/NN on/IN federal/JJ law/NN
a/DT couple/NN on/IN the/DT people/NNS
earlier/RBR in/IN on/IN my/PRP$ opening/VBG
a/DT lot/NN on/IN time/NN but/CC
have/VBP voted/VBN on/IN the/DT armed/JJ
and/CC retention/NN on/IN guard/NN members/NNS
regardless/RB on/IN the/DT result/NN
the/DT result/NN on/IN today/NN s/VBZ
the/DT future/NN on/IN the/DT one/CD
the/DT one/CD on/IN our/PRP$ most/RBS
on/IN its/PRP$ decisions/NNS
or/CC failure/NN on/IN a/DT base/NN
a/DT base/NN on/IN fulfilling/VBG its/PRP$
that/WDT develop/VBP on/IN intellectual/JJ clusters/NNS
other/JJ aspects/NNS on/IN the/DT pentagon/NN
s/VBZ analysis/NN on/IN hanscom/NN and/CC
the/DT value/NN on/IN the/DT regional/JJ
the/DT department/NN on/IN homeland/NN security/NN
best/JJS interests/NNS on/IN the/DT entire/JJ
come/VB out/RP on/IN the/DT military/JJ
the/DT thousands/NNS on/IN veterans/NNS that/WDT
do/VB any/DT on/IN the/DT things/NNS
brain/NN drain/NN on/IN terms/NNS on/IN
on/IN terms/NNS on/IN many/JJ in/IN
members/NNS on/IN the/DT airlift/NN
just/RB since/IN on/IN support/NN in/IN
center/NN located/VBN on/IN lima/NN of/IN
ideal/JJ example/NN on/IN how/WRB the/DT
the/DT deployment/NN on/IN troops/NNS abroad/RB
those/DT people/NNS on/IN the/DT event/NN
a/DT tsunami/NN on/IN the/DT pacific/NN
a/DT hurricane/NN on/IN mississippi/NNS a/DT
understand/VB why/WRB on/IN a/DT time/NN
has/VBZ suggested/VBN on/IN fact/NN recommended/VBD
the/DT department/NN on/IN homeland/NN security/NN
the/DT threat/NN on/IN international/JJ terrorism/NN
hundreds/NNS on/IN my/PRP$ constituents/NNS
thousands/NNS on/IN my/PRP$ constituents/NNS
the/DT absence/NN on/IN this/DT compromise/NN
urge/NN consideration/NN on/IN legislation/NN introduced/VBN
both/DT sides/NNS on/IN the/DT aisle/NN
online/JJ freedom/NN on/IN speech/NN act/NN
the/DT house/NN on/IN representatives/NNS
the/DT protection/NN on/IN free/JJ speech/NN
a/DT marketplace/NN on/IN ideas/NNS that/WDT
not/RB found/VBN on/IN the/DT mainstream/NN
on/IN before/IN i/FW
law/NN and/CC on/IN a/DT rare/JJ
restraint/NN nowhere/RB on/IN the/DT new/JJ
this/DT matter/NN on/IN a/DT federal/JJ
keeping/VBG government/NN on/IN and/CC by/IN
by/IN some/DT on/IN the/DT people/NNS
in/IN freedom/NN on/IN speech/NN in/IN
the/DT agency/NN on/IN charge/NN on/IN
on/IN charge/NN on/IN regulating/VBG our/PRP$
the/DT regulation/NN on/IN free/JJ speech/NN
spend/VB millions/NNS on/IN dollars/NNS in/IN
to/TO invest/VB on/IN tv/NN or/CC
also/RB rise/VB on/IN opposition/NN to/TO
the/DT behest/NN on/IN candidates/NNS of/IN
then/RB members/NNS on/IN congress/NN who/WP
mr/NN speaker/NN on/IN this/DT time/NN
a/DT cloud/NN on/IN scandal/NN hangs/VBZ
vice/NN president/NN on/IN the/DT united/VBN
in/IN charges/NNS on/IN making/VBG false/JJ
a/DT department/NN on/IN justice/NN investigation/NN
today/NN over/IN on/IN the/DT other/JJ
the/DT election/NN on/IN a/DT candidate/NN
large/JJ sums/NNS on/IN money/NN to/TO
the/DT growth/NN on/IN the/DT internet/NN
new/JJ generation/NN on/IN people/NNS to/TO
get/VB involved/VBN on/IN our/PRP$ political/JJ
several/JJ members/NNS on/IN congress/NN and/CC
not/RB be/VB on/IN session/NN as/IN
suspect/NN that/WDT on/IN light/NN in/IN
military/JJ quality/NN on/IN life/NN appropriations/NNS
vote/NN here/RB on/IN the/DT house/NN
and/CC members/NNS on/IN the/DT leadership/NN
i/FW rise/NN on/IN support/NN on/IN
on/IN support/NN on/IN the/DT motion/NN
on/IN san/NN diego/NN
we/PRP are/VBP on/IN collaboration/NN if/IN
protection/NN act/NN on/IN
on/IN addition/NN i/FW
judicial/JJ conference/NN on/IN the/DT united/VBN
the/DT impact/NN on/IN mandatory/JJ minimum/JJ
the/DT issue/NN on/IN the/DT death/NN
however/RB unfortunately/RB on/IN petitioning/VBG to/TO
the/DT basis/NN on/IN real/JJ definitive/JJ
judicial/JJ conference/NN on/IN the/DT united/VBN
the/DT creation/NN on/IN a/DT threat/NN
very/JJ nature/NN on/IN their/PRP$ work/NN
one/CD on/IN the/DT individuals/NNS
the/DT security/NN on/IN judicial/JJ officials/NNS
were/VBD vocal/JJ on/IN their/PRP$ praise/NN
bipartisan/JJ support/NN on/IN the/DT past/NN
my/PRP$ district/NN on/IN the/DT fulton/NN
for/IN charges/NNS on/IN rape/NN and/CC
on/IN the/DT aftermath/NN
the/DT states/NNS on/IN prosecution/NN on/IN
on/IN prosecution/NN on/IN murders/NNS in/IN
those/DT kinds/NNS on/IN crimes/NNS so/IN
the/DT basis/NN on/IN someone/NN s/VBZ
being/VBG paid/VBN on/IN part/NN by/IN
judicial/JJ conference/NN on/IN the/DT united/VBN
policymaking/NN body/NN on/IN the/DT federal/JJ
in/IN behalf/NN on/IN the/DT american/JJ
protection/NN act/NN on/IN
a/DT number/NN on/IN amendments/NNS of/IN
ineffective/JJ assistance/NN on/IN counsel/NN or/CC
roles/NNS backgrounds/NNS on/IN the/DT offenders/NNS
the/DT basis/NN on/IN the/DT facts/NNS
the/DT level/NN on/IN involvement/NN and/CC
necessary/JJ because/IN on/IN recent/JJ supreme/NN
the/DT expansion/NN on/IN the/DT federal/JJ
the/DT basis/NN on/IN any/DT portion/NN
the/DT salary/NN on/IN a/DT state/NN
further/JJ analysis/NN on/IN elaboration/NN in/IN
of/IN terms/NNS on/IN deterring/VBG murders/NNS
deter/VBP murders/NNS on/IN six/CD states/NNS
false/JJ filings/NNS on/IN liens/NNS and/CC
front/NN lines/NNS on/IN our/PRP$ criminal/JJ
fraternal/JJ order/NN on/IN police/NN the/DT
international/JJ union/NN on/IN police/NN associations/NNS
american/JJ federation/NN on/IN state/NN county/NN
the/DT heels/NNS on/IN the/DT bombing/NN
robert/NN vance/NN on/IN the/DT th/NN
the/DT shooting/NN on/IN judge/NN daronoco/NN
the/DT shooting/NN on/IN judge/NN wood/NN
to/TO be/VB on/IN a/DT tug/NN
dead/JJ seemingly/RB on/IN an/DT instant/NN
falsify/VBP information/NN on/IN order/NN to/TO
win/VB approval/NN on/IN government/NN contracts/NNS
former/JJ chairwoman/NN on/IN the/DT judicial/JJ
eastern/JJ district/NN on/IN virginia/NN and/CC
a/DT lot/NN on/IN its/PRP$ prerogatives/NNS
critical/JJ that/IN on/IN giving/VBG up/RP
the/DT members/NNS on/IN congress/NN in/IN
the/DT aisle/NN on/IN negotiating/VBG entering/VBG
procedures/NNS outlined/VBN on/IN article/NN in/IN
s/VBZ fulfillment/NN on/IN its/PRP$ labor/NN
leading/VBG members/NNS on/IN the/DT ways/NNS
many/JJ on/IN my/PRP$ colleagues/NNS
trade/VB here/RB on/IN the/DT united/VBN
traditional/JJ barriers/NNS on/IN tariff/NN and/CC
minimum/JJ because/IN on/IN the/DT size/NN
the/DT size/NN on/IN the/DT country/NN
strong/JJ support/NN on/IN this/DT agreement/NN
the/DT issue/NN on/IN trade/NN
other/JJ side/NN on/IN the/DT aisle/NN
we/PRP were/VBD on/IN the/DT midst/NN
strong/JJ proponents/NNS on/IN making/VBG sure/JJ
who/WP are/VBP on/IN that/DT wage/NN
right/RB now/RB on/IN the/DT united/VBN
the/DT standard/NN on/IN living/NN of/IN
united/VBN states/NNS on/IN america/NN juxtaposed/VBN
other/JJ countries/NNS on/IN the/DT world/NN
united/VBN states/NNS on/IN america/NN is/VBZ
it/PRP is/VBZ on/IN large/JJ part/NN
wide/JJ range/NN on/IN trade/NN agreements/NNS
that/DT kind/NN on/IN growth/NN
the/DT threat/NN on/IN terrorism/NN we/PRP
in/IN September/NNP on/IN
their/PRP$ being/VBG on/IN south/JJ florida/NN
that/DT kind/NN on/IN terrorist/JJ threat/NN
other/JJ side/NN on/IN the/DT aisle/NN
the/DT chairman/NN on/IN the/DT trade/NN
month/NN alone/RB on/IN the/DT aftermath/NN
