highest/JJS body/NN of/IN elected/VBN officials/NNS 
strong/JJ support/NN of/IN this/DT rule/NN 
reform/NN act/NN of/IN 
bipartisan/JJ vote/NN of/IN to/TO this/DT 
equal/JJ number/NN of/IN additional/JJ amendments/NNS 
from/IN members/NNS of/IN both/DT sides/NNS 
both/DT sides/NNS of/IN the/DT aisle/NN 
the/DT purpose/NN of/IN this/DT legislation/NN 
the/DT creation/NN of/IN a/DT worldclass/JJ 
the/DT envy/NN of/IN the/DT world/NN 
approximately/RB percent/NN of/IN american/JJ households/NNS 
american/JJ dream/NN of/IN homeownership/NN at/IN 
because/IN of/IN their/PRP$ size/NN 
effective/JJ oversight/NN of/IN their/PRP$ operations/NNS 
continued/JJ strength/NN of/IN our/PRP$ mortgage/NN 
the/DT office/NN of/IN federal/JJ housing/NN 
be/VB comprised/VBN of/IN an/DT advisory/JJ 
the/DT department/NN of/IN the/DT treasury/NN 
and/CC soundness/NN of/IN gses/NNS through/IN 
a/DT number/NN of/IN increased/VBN powers/NNS 
a/DT percentage/NN of/IN their/PRP$ earnings/NNS 
significant/JJ number/NN of/IN improvements/NNS to/TO 
the/DT wake/NN of/IN hurricanes/NNS katrina/NNS 
to/TO areas/NNS of/IN greatest/JJS impact/NN 
effective/JJ dates/NNS of/IN this/DT legislation/NN 
appropriate/JJ oversight/NN of/IN this/DT new/JJ 
improve/VB oversight/NN of/IN housing/NN gses/NNS 
the/DT balance/NN of/IN my/PRP$ time/NN 
in/IN front/NN of/IN everybody/NN republicans/NNS 
a/DT member/NN of/IN the/DT minority/NN 
the/DT facts/NNS of/IN the/DT case/NN 
a/DT part/NN of/IN this/DT debate/NN 
minimum/JJ wage/NN of/IN with/IN indexing/NN 
the/DT construction/NN of/IN permanent/JJ progressive/JJ 
addition/NN turnout/NN of/IN a/DT total/NN 
a/DT total/NN of/IN million/CD increasing/VBG 
the/DT needs/NNS of/IN the/DT most/RBS 
fundamental/JJ part/NN of/IN a/DT winning/VBG 
officials/NNS sectors/NNS of/IN the/DT business/NN 
and/CC thousands/NNS of/IN grassroots/NNS activists/NNS 
the/DT accomplishment/NN of/IN our/PRP$ objectives/NNS 
the/DT turnout/NN of/IN supporters/NNS without/IN 
a/DT turnout/NN of/IN approximately/RB percent/NN 
out/RP percent/NN of/IN that/DT electorate/NN 
raises/VBZ because/IN of/IN their/PRP$ wage/NN 
over/IN percent/NN of/IN florida/NN s/VBZ 
full/JJ percent/NN of/IN those/DT workers/NNS 
the/DT concentration/NN of/IN workers/NNS in/IN 
whopping/JJ percent/NN of/IN the/DT state/NN 
additional/JJ earnings/NNS of/IN minimum/JJ wage/NN 
longterm/JJ prospects/NNS of/IN our/PRP$ side/NN 
control/VBP only/RB of/IN legislative/JJ seats/NNS 
gathering/NN phase/NN of/IN the/DT campaign/NN 
the/DT construction/NN of/IN a/DT vast/JJ 
vast/JJ database/NN of/IN hundreds/NNS of/IN 
of/IN hundreds/NNS of/IN thousands/NNS of/IN 
of/IN thousands/NNS of/IN economic/JJ justice/NN 
the/DT goals/NNS of/IN this/DT campaign/NN 
voter/NN turnout/NN of/IN working/VBG class/NN 
the/DT power/NN of/IN progressive/JJ constituencies/NNS 
to/TO hundreds/NNS of/IN thousands/NNS of/IN 
of/IN thousands/NNS of/IN floridians/NNS 
the/DT top/NN of/IN the/DT ticket/NN 
the/DT importance/NN of/IN every/DT vote/NN 
the/DT process/NN of/IN building/VBG a/DT 
statewide/JJ network/NN of/IN progressive/JJ forces/NNS 
the/DT use/NN of/IN the/DT minimum/JJ 
the/DT needs/NNS of/IN social/JJ justice/NN 
the/DT strength/NN of/IN these/DT forces/NNS 
a/DT lack/NN of/IN coordination/NN amongst/IN 
a/DT coalition/NN of/IN necessity/NN is/VBZ 
the/DT face/NN of/IN organized/VBN and/CC 
the/DT interests/NNS of/IN all/DT our/PRP$ 
putting/VBG millions/NNS of/IN dollars/NNS into/IN 
the/DT pockets/NNS of/IN working/VBG families/NNS 
rising/VBG tide/NN of/IN wages/NNS that/WDT 
the/DT hands/NNS of/IN those/DT who/WP 
a/DT series/NN of/IN strategic/JJ premises/NNS 
targeted/JJ groups/NNS of/IN voterspotential/JJ voters/NNS 
the/DT process/NN of/IN completing/VBG this/DT 
of/IN the/DT unregistered/JJ 
voters/NNS statewide/RB of/IN these/DT voters/NNS 
to/TO register/VB of/IN these/DT potential/JJ 
in/IN florida/NN of/IN whom/WP are/VBP 
hispanic/JJ voters/NNS of/IN voting/VBG age/NN 
the/DT balance/NN of/IN my/PRP$ time/NN 
the/DT chairman/NN of/IN the/DT committee/NN 
getting/VBG millions/NNS of/IN dollars/NNS that/WDT 
a/DT member/NN of/IN the/DT united/VBN 
a/DT member/NN of/IN the/DT united/VBN 
my/PRP$ church/NN of/IN the/DT entire/JJ 
methodist/JJ church/NN of/IN dallas/NNS texas/NNS 
create/VB thousands/NNS of/IN more/JJR homes/NNS 
am/VBP proud/JJ of/IN how/WRB we/PRP 
the/DT balance/NN of/IN my/PRP$ time/NN 
congressional/JJ district/NN of/IN texas/NNS mr/VBP 
the/DT author/NN of/IN the/DT bill/NN 
xz/NN chairman/NN of/IN the/DT committee/NN 
the/DT balance/NN of/IN my/PRP$ time/NN 
his/PRP$ years/NNS of/IN service/NN in/IN 
during/IN consideration/NN of/IN these/DT amendments/NNS 
their/PRP$ disapproval/NN of/IN the/DT manager/NN 
the/DT purpose/NN of/IN these/DT changes/NNS 
important/JJ region/NN of/IN our/PRP$ country/NN 
very/RB proud/JJ of/IN this/DT bill/NN 
the/DT balance/NN of/IN my/PRP$ time/NN 
the/DT floor/NN of/IN the/DT congress/NN 
the/DT congress/NN of/IN the/DT united/VBN 
constitutional/JJ rights/NNS of/IN the/DT citizens/NNS 
the/DT citizens/NNS of/IN this/DT country/NN 
opposite/JJ side/NN of/IN the/DT aisle/NN 
are/VBP victims/NNS of/IN these/DT hurricanes/NNS 
a/DT matter/NN of/IN fact/NN we/PRP 
opposite/JJ side/NN of/IN the/DT aisle/NN 
the/DT idea/NN of/IN providing/VBG funds/NNS 
know/VBP because/IN of/IN the/DT leadership/NN 
the/DT leadership/NN of/IN some/DT people/NNS 
other/JJ side/NN of/IN the/DT aisle/NN 
america/JJ lack/NN of/IN housing/NN the/DT 
the/DT price/NN of/IN owning/VBG a/DT 
americans/RB many/JJ of/IN limited/JJ income/NN 
the/DT supply/NN of/IN affordable/JJ homes/NNS 
a/DT member/NN of/IN the/DT committee/NN 
the/DT inclusion/NN of/IN an/DT affordable/JJ 
provided/VBD one/CD of/IN those/DT moments/NNS 
the/DT mission/NN of/IN the/DT united/VBN 
important/JJ part/NN of/IN the/DT mission/NN 
up/RP one/CD of/IN those/DT vulnerable/JJ 
many/JJ members/NNS of/IN the/DT united/VBN 
any/DT kind/NN of/IN effort/NN to/TO 
lowincome/NN neighborhoods/NNS of/IN our/PRP$ communities/NNS 
united/VBN states/NNS of/IN america/NN 
get/VB all/DT of/IN our/PRP$ citizens/NNS 
the/DT price/NN of/IN owning/VBG a/DT 
americans/RB many/JJ of/IN limited/JJ means/NNS 
the/DT supply/NN of/IN affordable/JJ homes/NNS 
a/DT member/NN of/IN the/DT financial/JJ 
the/DT inclusion/NN of/IN affordable/JJ housing/NN 
provides/VBZ one/CD of/IN those/DT moments/NNS 
the/DT mission/NN of/IN the/DT united/VBN 
it/PRP is/VBZ of/IN many/JJ religious/JJ 
important/JJ part/NN of/IN that/DT mission/NN 
important/JJ part/NN of/IN that/DT mission/NN 
up/RP one/CD of/IN those/DT vulnerable/JJ 
any/DT standard/NN of/IN measurement/NN was/VBD 
the/DT age/NN of/IN i/FW lived/VBD 
a/DT point/NN of/IN illustration/NN 
full/JJ participation/NN of/IN our/PRP$ nation/NN 
a/DT photograph/NN of/IN the/DT shack/NN 
the/DT interests/NNS of/IN the/DT most/RBS 
the/DT people/NNS of/IN my/PRP$ district/NN 
the/DT citizens/NNS of/IN our/PRP$ country/NN 
walk/VBP out/IN of/IN the/DT front/JJ 
front/JJ door/NN of/IN that/DT shack/NN 
the/DT interests/NNS of/IN the/DT faithbased/JJ 
political/JJ purposes/NNS of/IN some/DT study/NN 
several/JJ years/NNS of/IN work/NN that/WDT 
and/CC soundness/NN of/IN the/DT governmentsponsored/VBN 
the/DT dream/NN of/IN homeownership/NN 
the/DT availability/NN of/IN affordable/JJ housing/NN 
most/RBS nonpartisan/JJ of/IN ways/NNS but/CC 
organizations/NNS many/JJ of/IN them/PRP faithbased/JJ 
us/PRP conference/NN of/IN catholic/JJ bishops/NNS 
mainstream/NN values/NNS of/IN this/DT nation/NN 
came/VBD out/IN of/IN the/DT committee/NN 
for/IN consideration/NN of/IN another/DT amendment/NN 
amendment/NN worthy/JJ of/IN a/DT no/DT 
the/DT dream/NN of/IN homeownership/NN firefighters/NNS 
expensive/JJ parts/NNS of/IN the/DT country/NN 
the/DT importance/NN of/IN maintaining/VBG the/DT 
bipartisan/JJ version/NN of/IN hr/NN that/WDT 
came/VBD out/IN of/IN the/DT committee/NN 
a/DT lot/NN of/IN the/DT concerns/NNS 
a/DT lot/NN of/IN us/PRP had/VBD 
all/DT of/IN us/PRP believe/VBP 
a/DT lot/NN of/IN growth/NN in/IN 
average/JJ cost/NN of/IN a/DT home/NN 
a/DT family/NN of/IN and/CC i/FW 
why/WRB provisions/NNS of/IN this/DT bill/NN 
the/DT democracy/NN of/IN voting/NN 
one/CD of/IN those/DT freedoms/NNS 
is/VBZ part/NN of/IN democracy/NN 
the/DT suffrage/NN of/IN women/NNS and/CC 
in/IN part/NN of/IN that/DT process/NN 
in/IN part/NN of/IN that/DT process/NN 
national/JJ council/NN of/IN la/DT raza/NN 
the/DT restriction/NN of/IN this/DT antipoison/NN 
in/IN support/NN of/IN hr/NN to/TO 
regulatory/JJ oversight/NN of/IN fannie/NN mae/NN 
me/PRP because/IN of/IN its/PRP$ potential/JJ 
a/DT lot/NN of/IN money/NN 
american/JJ dream/NN of/IN owning/VBG a/DT 
for/IN millions/NNS of/IN families/NNS 
or/CC understanding/NN of/IN financial/JJ institutions/NNS 
have/VBP learned/VBN of/IN our/PRP$ obligation/NN 
am/VBP proud/JJ of/IN the/DT work/NN 
civic/JJ engagement/NN of/IN working/VBG class/NN 
main/JJ point/NN of/IN contact/NN and/CC 
educational/JJ needs/NNS of/IN the/DT people/NNS 
the/DT construction/NN of/IN the/DT reform/NN 
the/DT briefest/JJS of/IN lookbacks/NNS over/IN 
historical/JJ performance/NN of/IN the/DT three/CD 
in/IN may/MD of/IN both/DT hud/NN 
were/VBD suggestive/JJ of/IN reforms/NNS which/WDT 
the/DT work/NN of/IN economic/JJ pencil/NN 
the/DT managements/NNS of/IN fannie/NN mae/NN 
continued/VBN flow/NN of/IN subsidies/NNS to/TO 
those/DT observations/NNS of/IN the/DT cbo/NN 
were/VBD categories/NNS of/IN earnings/NNS that/WDT 
to/TO onethousandths/NNS of/IN a/DT cent/NN 
the/DT payment/NN of/IN million/CD in/IN 
the/DT period/NN of/IN to/TO the/DT 
the/DT period/NN of/IN time/NN for/IN 
through/IN guarantees/NNS of/IN obligations/NNS that/IN 
further/RB examination/NN of/IN the/DT ability/NN 
the/DT ability/NN of/IN the/DT regulator/NN 
the/DT matter/NN of/IN the/DT unwarranted/JJ 
bar/VB payment/NN of/IN the/DT bonuses/NNS 
should/MD either/RB of/IN the/DT enterprises/NNS 
the/DT organization/NN of/IN a/DT financial/JJ 
an/DT act/NN of/IN congress/NN to/TO 
in/IN protection/NN of/IN their/PRP$ financial/JJ 
a/DT host/NN of/IN other/JJ matters/NNS 
the/DT pages/NNS of/IN the/DT bill/NN 
to/TO injury/NN of/IN shareholders/NNS and/CC 
a/DT cessation/NN of/IN those/DT activities/NNS 
the/DT passage/NN of/IN this/DT bill/NN 
the/DT creation/NN of/IN an/DT independently/RB 
investment/NN portfolios/NNS of/IN the/DT two/CD 
operations/NNS standards/NNS of/IN the/DT bill/NN 
the/DT director/NN of/IN the/DT new/JJ 
risks/NNS management/NN of/IN interest/NN rate/NN 
and/CC maintenance/NN of/IN liquidity/NN and/CC 
reserves/NNS management/NN of/IN asset/NN and/CC 
the/DT subject/NN of/IN professional/JJ examination/NN 
on/IN page/NN of/IN the/DT bill/NN 
an/DT analysis/NN of/IN the/DT potential/JJ 
financial/JJ system/NN of/IN portfolio/NN holdings/NNS 
best/JJS interest/NN of/IN the/DT united/VBN 
true/JJ need/NN of/IN housing/NN not/RB 
houses/NNS as/IN of/IN today/NN s/VBZ 
the/DT part/NN of/IN this/DT house/NN 
the/DT balance/NN of/IN my/PRP$ time/NN 
the/DT preparation/NN of/IN the/DT legislation/NN 
the/DT balance/NN of/IN my/PRP$ time/NN 
allocates/NNS percent/NN of/IN net/JJ profit/NN 
the/DT city/NN of/IN baker/NN in/IN 
want/VBP out/IN of/IN the/DT fema/NN 
want/VBP out/IN of/IN their/PRP$ circumstance/NN 
every/DT cent/NN of/IN this/DT money/NN 
a/DT result/NN of/IN the/DT katrina/NN 
the/DT guesstimate/NN of/IN what/WP it/PRP 
the/DT scope/NN of/IN this/DT debate/NN 
the/DT administration/NN of/IN the/DT program/NN 
the/DT provisions/NNS of/IN the/DT program/NN 
the/DT resources/NNS of/IN this/DT proposal/NN 
advocacy/NN as/IN of/IN the/DT date/NN 
the/DT date/NN of/IN passage/NN of/IN 
of/IN passage/NN of/IN this/DT bill/NN 
a/DT bunch/NN of/IN this/DT money/NN 
civil/JJ rights/NNS of/IN this/DT country/NN 
percent/NN assessment/NN of/IN net/JJ profits/NNS 
in/IN excess/NN of/IN billion/CD for/IN 
the/DT issue/NN of/IN whether/IN we/PRP 
to/TO one/CD of/IN those/DT trailers/NNS 
what/WP kind/NN of/IN response/NN do/VBP 
the/DT expense/NN of/IN advancing/VBG replacement/NN 
the/DT administration/NN of/IN the/DT program/NN 
american/JJ dream/NN of/IN homeownership/NN 
the/DT charters/NNS of/IN fannie/NN mae/NN 
average/JJ income/NN of/IN those/DT who/WP 
vast/JJ majority/NN of/IN manufactured/JJ home/NN 
the/DT purchase/NN of/IN a/DT manufactured/JJ 
any/DT piece/NN of/IN land/NN 
the/DT purchase/NN of/IN new/JJ homes/NNS 
broad/JJ support/NN of/IN manufactured/JJ housing/NN 
the/DT balance/NN of/IN my/PRP$ time/NN 
a/DT number/NN of/IN years/NNS now/RB 
end/NN because/IN of/IN the/DT discussion/NN 
a/DT heck/NN of/IN a/DT sound/JJ 
a/DT lot/NN of/IN legislation/NN on/IN 
best/JJS interests/NNS of/IN america/NN at/IN 
one/CD piece/NN of/IN legislation/NN that/WDT 
in/IN terms/NNS of/IN the/DT gses/NNS 
vast/JJ sums/NNS of/IN dollars/NNS that/IN 
not/RB critical/JJ of/IN those/DT who/WP 
sophisticated/JJ kind/NN of/IN regulation/NN that/IN 
in/IN some/DT of/IN the/DT most/RBS 
sophisticated/JJ kinds/NNS of/IN investments/NNS that/WDT 
or/CC anything/NN of/IN that/DT nature/NN 
the/DT concept/NN of/IN the/DT affordable/JJ 
a/DT heck/NN of/IN a/DT lot/NN 
a/DT lot/NN of/IN sense/NN as/RB 
and/CC all/DT of/IN us/PRP can/MD 
great/JJ deal/NN of/IN pride/NN in/IN 
my/PRP$ colleagues/NNS of/IN the/DT good/JJ 
the/DT members/NNS of/IN that/DT committee/NN 
a/DT vote/NN of/IN that/DT would/MD 
a/DT percentage/NN of/IN the/DT profits/NNS 
the/DT profits/NNS of/IN these/DT housing/NN 
new/JJ stock/NN of/IN affordable/JJ housing/NN 
every/DT section/NN of/IN this/DT country/NN 
providing/VBG millions/NNS of/IN families/NNS the/DT 
the/DT opportunity/NN of/IN attaining/VBG the/DT 
american/JJ dream/NN of/IN homeownership/NN 
extremist/NN wing/NN of/IN the/DT republican/JJ 
the/DT house/NN of/IN representatives/NNS 
other/JJ houses/NNS of/IN worship/NN the/DT 
any/DT type/NN of/IN nonpartisan/JJ voter/NN 
the/DT houses/NNS of/IN worship/NN free/JJ 
other/JJ houses/NNS of/IN worship/NN to/TO 
from/IN any/DT of/IN this/DT funding/NN 
and/CC house/NN of/IN worship/NN in/IN 
many/JJ members/NNS of/IN the/DT cloth/NN 
congress/NN most/JJS of/IN whom/WP i/FW 
all/DT members/NNS of/IN faith/NN and/CC 
the/DT independence/NN of/IN religion/NN and/CC 
defeated/VBN all/DT of/IN the/DT good/JJ 
american/JJ dream/NN of/IN homeownership/NN stand/VBP 
for/IN people/NNS of/IN faith/NN and/CC 
the/DT balance/NN of/IN my/PRP$ time/NN 
the/DT name/NN of/IN this/DT theoretical/JJ 
theoretical/JJ term/NN of/IN systemic/JJ risk/NN 
in/IN advance/NN of/IN any/DT real/JJ 
central/JJ coast/NN of/IN california/NN will/MD 
a/DT piece/NN of/IN the/DT american/JJ 
nationwide/JJ limit/NN of/IN 
the/DT availability/NN of/IN mortgage/NN capital/NN 
a/DT mortgage/NN of/IN sounds/NNS like/IN 
priced/VBN out/IN of/IN the/DT housing/NN 
some/DT examples/NNS of/IN housing/NN prices/NNS 
the/DT city/NN of/IN salinas/NNS in/IN 
the/DT city/NN of/IN watsonville/NN in/IN 
the/DT inclusion/NN of/IN a/DT provision/NN 
the/DT price/NN of/IN homeownership/NN in/IN 
other/JJ parts/NNS of/IN the/DT country/NN 
americans/NNS regardless/RB of/IN the/DT geographic/JJ 
median/JJ price/NN of/IN a/DT home/NN 
the/DT lesser/JJR of/IN percent/NN of/IN 
of/IN percent/NN of/IN the/DT statutory/JJ 
the/DT maximum/NN of/IN the/DT area/NN 
at/IN percent/NN of/IN the/DT current/JJ 
the/DT contributions/NNS of/IN the/DT american/JJ 
the/DT benefits/NNS of/IN their/PRP$ contributions/NNS 
great/JJ deal/NN of/IN what/WP the/DT 
great/JJ deal/NN of/IN what/WP is/VBZ 
the/DT nature/NN of/IN parliamentary/JJ debate/NN 
great/JJ deal/NN of/IN agreement/NN 
ranking/JJ member/NN of/IN the/DT minority/NN 
the/DT impact/NN of/IN the/DT affordable/JJ 
the/DT conversion/NN of/IN the/DT gentleman/NN 
solve/VB all/DT of/IN the/DT problems/NNS 
her/PRP$ appreciation/NN of/IN the/DT extremely/RB 
about/IN some/DT of/IN these/DT little/JJ 
her/PRP$ understanding/NN of/IN its/PRP$ problems/NNS 
s/VBZ expression/NN of/IN disagreement/NN with/IN 
extreme/JJ sweep/NN of/IN the/DT manager/NN 
in/IN need/NN of/IN further/JJ time/NN 
ranking/JJ member/NN of/IN the/DT subcommittee/NN 
the/DT subcommittee/NN of/IN jurisdiction/NN here/RB 
been/VBN one/CD of/IN the/DT major/JJ 
major/JJ architects/NNS of/IN what/WP we/PRP 
good/JJ piece/NN of/IN legislation/NN 
the/DT rights/NNS of/IN people/NNS to/TO 
catholic/NN church/NN of/IN the/DT united/VBN 
the/DT purpose/NN of/IN making/VBG a/DT 
xz/NN one/CD of/IN our/PRP$ most/RBS 
the/DT status/NN of/IN the/DT gentleman/NN 
active/JJ member/NN of/IN the/DT committee/NN 
very/RB aware/JJ of/IN the/DT need/NN 
xz/NN one/CD of/IN the/DT most/RBS 
active/JJ members/NNS of/IN the/DT committee/NN 
important/JJ provision/NN of/IN the/DT bill/NN 
the/DT balance/NN of/IN my/PRP$ time/NN 
certain/JJ level/NN of/IN discomfort/NN on/IN 
on/IN some/DT of/IN my/PRP$ friends/NNS 
and/CC some/DT of/IN my/PRP$ not/RB 
a/DT lot/NN of/IN what/WP is/VBZ 
a/DT lot/NN of/IN us/PRP like/IN 
areas/NNS some/DT of/IN the/DT restrictions/NNS 
the/DT use/NN of/IN funds/NNS 
church/NN out/IN of/IN affordable/JJ housing/NN 
as/IN proof/NN of/IN that/DT i/FW 
a/DT copy/NN of/IN what/WP the/DT 
small/JJ part/NN of/IN the/DT manager/NN 
much/RB of/IN the/DT manager/NN 
the/DT result/NN of/IN taking/VBG into/IN 
came/VBD out/IN of/IN committee/NN like/IN 
not/RB aware/JJ of/IN any/DT but/CC 
a/DT wealth/NN of/IN experience/NN in/IN 
groups/NNS some/DT of/IN which/WDT have/VBP 
successful/JJ record/NN of/IN building/VBG affordable/JJ 
is/VBZ one/CD of/IN their/PRP$ primary/JJ 
i/FW kind/NN of/IN slipped/VBD into/IN 
a/DT penny/NN of/IN the/DT affordable/JJ 
a/DT lot/NN of/IN restrictions/NNS 
the/DT limits/NNS of/IN c/NN 
all/DT of/IN those/DT we/PRP 
percent/NN textually/RB of/IN the/DT manager/NN 
will/MD instead/RB of/IN saying/VBG this/DT 
be/VB one/CD of/IN your/PRP$ primary/JJ 
the/DT demands/NNS of/IN the/DT republican/JJ 
a/DT lot/NN of/IN bipartisan/JJ support/NN 
vouchers/NNS instead/RB of/IN this/DT 
not/RB one/CD of/IN them/PRP 
comes/VBZ out/IN of/IN committee/NN it/PRP 
a/DT part/NN of/IN the/DT republican/JJ 
the/DT restrictions/NNS of/IN what/WP they/PRP 
the/DT balance/NN of/IN my/PRP$ time/NN 
fair/JJ characterization/NN of/IN the/DT lowincome/NN 
housing/NN activities/NNS of/IN the/DT catholic/JJ 
a/DT choice/NN of/IN doing/VBG the/DT 
every/DT branch/NN of/IN judaism/NN and/CC 
the/DT importance/NN of/IN helping/VBG faithbased/JJ 
the/DT balance/NN of/IN my/PRP$ time/NN 
the/DT purpose/NN of/IN making/VBG a/DT 
former/JJ chairman/NN of/IN the/DT committee/NN 
very/RB critical/JJ of/IN the/DT role/NN 
the/DT role/NN of/IN gses/NNS and/CC 
an/DT expression/NN of/IN a/DT sense/NN 
great/JJ supporter/NN of/IN their/PRP$ housing/NN 
is/VBZ part/NN of/IN what/WP we/PRP 
that/IN more/JJR of/IN that/DT competitive/JJ 
bipartisan/JJ majority/NN of/IN the/DT committee/NN 
the/DT powers/NNS of/IN the/DT regulator/NN 
ranking/JJ member/NN of/IN the/DT subcommittee/NN 
with/IN all/DT of/IN the/DT misdeeds/NNS 
the/DT misdeeds/NNS of/IN fannie/NN and/CC 
ago/IN secretary/NN of/IN hud/NN jackson/NN 
use/VBP more/JJR of/IN their/PRP$ money/NN 
is/VBZ one/CD of/IN the/DT most/RBS 
honest/JJ members/NNS of/IN the/DT house/NN 
the/DT level/NN of/IN profits/NNS fannie/NN 
that/DT part/NN of/IN the/DT bill/NN 
through/IN hundreds/NNS of/IN millions/NNS of/IN 
of/IN millions/NNS of/IN dollars/NNS will/MD 
the/DT ability/NN of/IN the/DT bush/JJ 
is/VBZ proud/JJ of/IN what/WP it/PRP 
at/IN percent/NN of/IN median/JJ income/NN 
the/DT balance/NN of/IN my/PRP$ time/NN 
ranking/JJ member/NN of/IN the/DT subcommittee/NN 
good/JJ deal/NN of/IN time/NN focused/VBD 
corporate/JJ governance/NN of/IN these/DT gses/NNS 
is/VBZ one/CD of/IN the/DT best/JJS 
from/IN any/DT of/IN the/DT purposes/NNS 
close/JJ replay/NN of/IN that/DT vote/NN 
one/CD instead/RB of/IN requiring/VBG that/IN 
be/VB one/CD of/IN its/PRP$ primary/JJ 
some/DT of/IN you/PRP may/MD 
important/JJ provider/NN of/IN affordable/JJ housing/NN 
am/VBP aware/JJ of/IN no/DT restriction/NN 
on/IN behalf/NN of/IN the/DT united/VBN 
states/NNS conference/NN of/IN catholic/JJ bishops/NNS 
the/DT provision/NN of/IN affordable/JJ housing/NN 
participating/VBG department/NN of/IN social/JJ development/NN 
as/IN chairman/NN of/IN the/DT domestic/JJ 
policy/NN committee/NN of/IN the/DT united/VBN 
states/NNS conference/NN of/IN catholic/JJ bishops/NNS 
as/IN part/NN of/IN the/DT federal/JJ 
reform/NN act/NN of/IN hr/NN and/CC 
s/VBZ promise/NN of/IN a/DT decent/JJ 
the/DT house/NN of/IN representatives/NNS the/DT 
serves/VBZ tens/NNS of/IN thousands/NNS of/IN 
of/IN thousands/NNS of/IN men/NNS women/NNS 
maintain/VB thousands/NNS of/IN affordable/JJ housing/NN 
all/DT of/IN these/DT experiences/NNS 
social/JJ fabric/NN of/IN our/PRP$ nation/NN 
the/DT efforts/NNS of/IN so/RB many/JJ 
the/DT provision/NN of/IN affordable/JJ housing/NN 
oppose/VB inclusion/NN of/IN these/DT kinds/NNS 
these/DT kinds/NNS of/IN unnecessary/JJ limitations/NNS 
so/RB much/JJ of/IN their/PRP$ income/NN 
the/DT supply/NN of/IN affordable/JJ housing/NN 
sustainable/JJ source/NN of/IN funds/NNS to/TO 
shelter/NN needs/NNS of/IN extremely/RB lowincome/JJ 
american/JJ association/NN of/IN homes/NNS and/CC 
on/IN behalf/NN of/IN the/DT american/JJ 
american/JJ association/NN of/IN homes/NNS and/CC 
the/DT eligibility/NN of/IN nonprofit/JJ faithbased/JJ 
outstanding/JJ example/NN of/IN successful/JJ faithbased/JJ 
nonprofit/JJ sponsors/NNS of/IN affordable/JJ senior/JJ 
possible/JJ quality/NN of/IN life/NN for/IN 
because/IN of/IN the/DT high/JJ 
high/JJ concentration/NN of/IN voters/NNS many/JJ 
voters/NNS many/JJ of/IN our/PRP$ senior/JJ 
provide/VB any/DT of/IN the/DT civic/JJ 
jr/NN union/NN of/IN orthodox/JJ jewish/NN 
jewish/NN congregations/NNS of/IN america/NN washington/NN 
dear/RB leaders/NNS of/IN the/DT house/NN 
the/DT house/NN of/IN representatives/NNS we/PRP 
on/IN behalf/NN of/IN the/DT union/NN 
the/DT union/NN of/IN orthodox/JJ jewish/NN 
jewish/NN congregations/NNS of/IN america/NN to/TO 
reform/NN act/NN of/IN hr/NN contains/VBZ 
to/TO participation/NN of/IN the/DT many/JJ 
the/DT provision/NN of/IN affordable/JJ housing/NN 
oppose/VB inclusion/NN of/IN these/DT kinds/NNS 
these/DT kinds/NNS of/IN unnecessary/JJ limitations/NNS 
the/DT diversion/NN of/IN funds/NNS to/TO 
the/DT context/NN of/IN hr/NN 
reform/NN act/NN of/IN 
would/MD be/VB of/IN tremendous/JJ harm/NN 
a/DT coalition/NN of/IN more/JJR than/IN 
and/CC inclusion/NN of/IN children/NNS and/CC 
all/DT aspects/NNS of/IN society/NN 
large/JJ part/NN of/IN our/PRP$ agenda/NN 
efforts/NNS regardless/RB of/IN the/DT source/NN 
the/DT source/NN of/IN these/DT funds/NNS 
the/DT part/NN of/IN congress/NN to/TO 
over/IN activities/NNS of/IN nonprofit/JJ disability/NN 
registration/NN activities/NNS of/IN nonprofit/JJ organizations/NNS 
in/IN jeopardy/NN of/IN violating/VBG both/CC 
registration/NN act/NN of/IN motor/NN voter/NN 
the/DT goal/NN of/IN increasing/VBG turnout/NN 
because/IN some/DT of/IN these/DT same/JJ 
extreme/JJ breadth/NN of/IN the/DT language/NN 
the/DT use/NN of/IN other/JJ unrelated/JJ 
successful/JJ development/NN of/IN affordable/JJ housing/NN 
subsequent/JJ ownership/NN of/IN affordable/JJ rental/JJ 
the/DT purposes/NNS of/IN providing/VBG essential/JJ 
formalized/VBN memoranda/NNS of/IN understanding/VBG management/NN 
the/DT needs/NNS of/IN extremely/RB lowincome/JJ 
and/CC copies/NNS of/IN the/DT recommit/NN 
a/DT fear/NN of/IN acorn/NN should/MD 
the/DT reality/NN of/IN it/PRP 
the/DT column/NN of/IN nonpartisan/JJ 
back/RP control/NN of/IN the/DT house/NN 
this/DT interchange/NN of/IN events/NNS bill/NN 
comes/VBZ out/IN of/IN committee/NN majority/NN 
right/RB many/JJ of/IN them/PRP because/IN 
the/DT provision/NN of/IN affordable/JJ housing/NN 
secondly/RB none/NN of/IN the/DT money/NN 
the/DT regulation/NN of/IN fannie/NN mae/NN 
a/DT couple/NN of/IN years/NNS of/IN 
of/IN years/NNS of/IN these/DT two/CD 
in/IN January/NNP of/IN freddie/NN mac/NN 
unaudited/JJ statement/NN of/IN earnings/NNS for/IN 
November/NNP of/IN the/DT next/JJ 
